"","CropCO2","Zn","Fe","N","P","K","S","B","Ca","Mg","Mn","Cu","SE NutSD.CropCO2","SE Zn","SE Fe","SE N","SE P","SE K","SE S","SE B","SE Ca","SE Mg","SE Mn","SE Cu"
"1","Corn aCO2",18.80625,14.71875,1.063125,0.253125,0.328125,931.25,77.75,4.5625,0.0946875,3.85625,2.125,"Corn aCO2",0.526345003301067,0.503257617097513,0.0385218417481131,0.00589906419132165,0.00549384124876818,15.8607219255619,3.13116059419932,0.386961992104306,0.00174336539964136,0.102456799839412,0.111616904335021
"2","Corn eCO2",17.85,13.875,1.008125,0.23525,0.319375,950,94.8125,4.5625,0.0894375,3.7,1.9,"Corn eCO2",0.403938939280019,0.603427709009124,0.0294422987949877,0.00494258704189078,0.00566191590070593,15.5991452757301,8.2876508281901,0.273385411705404,0.00180270340969704,0.110679718105893,0.0508265022732564
"3","Field_peas aCO2",25.805,42.0225,3.40175,0.336625,1.025,1826.25,8.1,46.125,0.11035,9.3425,5.885,"Field_peas aCO2",0.540345924338028,0.532465088538977,0.0385222005588652,0.00795940723053786,0.0202167739443747,24.0557245705754,0.63830705576227,1.77777861244639,0.000878919791562347,0.178235205449256,0.112918736379934
"4","Field_peas eCO2",24,40.1375,3.321,0.32175,1.0405,1778,6.85,45.9,0.1103,9.0475,5.745,"Field_peas eCO2",0.510090489709726,0.543040909588936,0.0269134414992459,0.00493999247378229,0.0163022336050254,17.6475464990434,0.618673104519996,1.53748045641112,0.000756340718229081,0.125012178893878,0.0919831366930778
"5","Rice aCO2",27.5449152542373,11.2152542372881,1.30084745762712,0.343338983050847,0.301186440677966,992.203389830509,30.8728813559322,7.93220338983051,0.133186440677966,35.7449152542373,3.0728813559322,"Rice aCO2",0.377316779746381,0.19872703363242,0.0113550781190644,0.0028328340265873,0.00311350186066776,9.83945852823896,0.472715901015085,0.318152536210485,0.000951446907205302,1.14362330069222,0.0800338641290693
"6","Rice eCO2",26.6559322033898,10.6245762711864,1.19737288135593,0.339779661016949,0.304237288135593,913.389830508475,32.0338983050847,8.60169491525424,0.131923728813559,32.2940677966102,2.69830508474576,"Rice eCO2",0.364974846029051,0.163923255243294,0.00924220424796876,0.00267981157197845,0.00277195130412935,9.11975498737447,0.495515482817041,0.274499222838439,0.000849722094104923,0.904274854385657,0.0652276576957711
"7","Sorghum aCO2",28.375,32.9875,1.945625,0.370625,0.465625,1201.25,152.375,16.5625,0.159625,25.6125,4.0375,"Sorghum aCO2",2.34482586418125,2.53311196949523,0.110045326835506,0.0193661807885121,0.0157577692477922,80.7045795891823,11.6647170990127,1.31646227316496,0.0072237311457907,1.13346353418773,0.342159197840226
"8","Sorghum eCO2",28.24,33.82,1.96466666666667,0.3752,0.475333333333333,1207.33333333333,165.666666666667,18.6666666666667,0.160866666666667,26.3733333333333,3.96666666666667,"Sorghum eCO2",2.04380131361241,2.32463412379751,0.105251927554645,0.0197966327103037,0.0140022673900869,69.6143572128532,6.66309428094976,1.22539271320965,0.00656750055135616,1.20958342560241,0.293040979852675
"9","soybean aCO2",39.94375,76.4552083333333,6.30739583333333,0.580677083333333,1.92260416666667,3116.35416666667,120.40625,135.520833333333,0.233291666666667,27.9927083333333,13.91875,"soybean aCO2",0.40499840940775,0.552744091099021,0.0327477884587656,0.00566503771978559,0.00934856775744269,13.9431173611598,3.81799691801981,3.40938395315906,0.00183298940155115,0.384066551226736,0.251753989584932
"10","soybean eCO2",37.743,73.192,6.3411,0.575,1.9226,3026,106.43,124.87,0.22398,27.67,13.041,"soybean eCO2",0.324610893722365,0.520508065705659,0.0239852206177222,0.00476902887007789,0.00908280649014244,12.4810968178994,3.42180338182053,3.27261841850395,0.00160950334268091,0.482465260171888,0.1494305351944
