"","pred","se","p","elevated","fieldpots","experiments","plant"
"1","0.92509398153377","0.0407893579384771","7.09303705261292e-114","583.72131147541","0.754098360655738","122","Wheat"
"2","0.924991483223464","0.021524408085694","0","596.31914893617","0.893617021276596","47","Rice"
"3","0.861118902","0.0298252959541807","2.67554801840804e-183","630.941176470588","0.411764705882353","17","Barley"
"4","0.956870944","0.0302340825890253","7.88941941499125e-220","550","1","4","Maize"
"5","1.00261891758065","0.0172844433914048","0","561","1","4","Sorghum"
"6","0.918228819964832","0.0252763553520071","5.93836805268657e-289","590.389189189189","0.745945945945946","185","C3"
"7","0.979381851634921","0.0473548397143644","5.05527846845699e-95","555.5","1","8","C4"
"8","0.921038915512035","0.0238391449936282","0","588.943005181347","0.756476683937824","193","Grain"
"9","0.937428571428571","0.0478811499822185","2.37078348954689e-85","653.975","0.25","4","Root"
"10","0.934880170757576","0.026729016778114","5.17213377673086e-268","590.992857142857","0.928571428571429","14","Potato"
"11","0.96","0.0274252757506648","1.94160424183165e-268","695","0","2","Sugarbeet"
"12","0.9701329595","0.0419903454523714","4.24854300083056e-118","616.444444444444","0.555555555555556","18","Pulse"
"13","1.08165251195966","0.0517569040512517","d and f <0.1","584.615384615385","0.769230769230769","13","Peas"
"14","0.96018227925","0.0379740858641362","4.64741460830171e-141","699","0","4","Beans"
"15","1.067686015","0.0136791081580635","0","700","0","2","Chickpea"
"16","0.998659530651316","0.0324715043710046","1.04991307575846e-207","563.145833333333","0.8125","48","Oil"
"17","0.999203782666667","0.0437065696048185","1.11949585422065e-115","563.475","0.875","40","Soy"
"18","0.960392799590909","0.173366112816085","3.03024725175671e-08","585.5","0.375","8","Mustard"
"19","0.8512687966","0.0388672836852608","2.48969071924853e-106","583.333333333333","0.333333333333333","3","Veg"
