,RecordOrder,Survey,Breakdown.Variable,Indicator,Measure,Unit,Value,SD,CofV,,,country
265,265,Guatemala - 2006,Country-level,Protein consumption,Mean,g/capita/day,65.02,32.8,0.504460166,,70,Guatemala
,,,,,,,,,,,71,Guinea
,,,,,,,,,,,72,Guinea-Bissau
,,,,,,,,,,,73,Guyana
289,289,Haiti - 1999-2000,Country-level,Protein consumption,Mean,g/capita/day,57.5,52.88,0.919652174,,74,Haiti
,,,,,,,,,,,75,Honduras
313,313,Hungary - 2004,Country-level,Protein consumption,Mean,g/capita/day,79.91,37.09,0.464147166,,76,Hungary
,,,,,,,,,,,77,Iceland
,,,,,,,,,,,78,India
,,,,,,,,,,,79,Indonesia
,,,,,,,,,,,80,Iran_(Islamic_Republic_of)
337,337,Iraq - 2007,Country-level,Protein consumption,Mean,g/capita/day,76.39,30.57,0.40018327,,81,Iraq
,,,,,,,,,,,82,Ireland
,,,,,,,,,,,83,Israel
,,,,,,,,,,,84,Italy
,,,,,,,,,,,85,Jamaica
,,,,,,,,,,,86,Japan
,,,,,,,,,,,87,Jordan
,,,,,,,,,,,88,Kazakhstan
361,361,Kenya - 2005-2006,Country-level,Protein consumption,Mean,g/capita/day,52.4,38.83,0.741030534,,89,Kenya
,,,,,,,,,,,90,Kiribati
,,,,,,,,,,,91,Kuwait
,,,,,,,,,,,92,Kyrgyzstan
385,385,Lao People's Democratic Republic - 2008,Country-level,Protein consumption,Mean,g/capita/day,69.09,25.98,0.376031264,,93,Lao_People's_Democratic_Republic
,,,,,,,,,,,94,Latvia
,,,,,,,,,,,95,Lebanon
,,,,,,,,,,,96,Lesotho
,,,,,,,,,,,97,Liberia
,,,,,,,,,,,98,Libya
409,409,Lithuania - 2002,Country-level,Protein consumption,Mean,g/capita/day,86.5,42.66,0.493179191,,99,Lithuania
,,,,,,,,,,,100,Luxembourg
,,,,,,,,,,,101,Madagascar
433,433,Malawi - 2004-2005,Country-level,Protein consumption,Mean,g/capita/day,74.32,168.04,2.261033369,,102,Malawi
,,,,,,,,,,,103,Malaysia
,,,,,,,,,,,104,Maldives
457,457,Mali - 2001,Country-level,Protein consumption,Mean,g/capita/day,63.49,23.67,0.372814616,,105,Mali
,,,,,,,,,,,106,Malta
,,,,,,,,,,,107,Marshall_Islands
,,,,,,,,,,,108,Mauritania
,,,,,,,,,,,109,Mauritius
481,481,Mexico - 2004,Country-level,Protein consumption,Mean,g/capita/day,78.51,51.69,0.658387467,,110,Mexico
529,529,Mexico - 2008,Country-level,Protein consumption,Mean,g/capita/day,78.11,47.11,0.6031238,,111,Micronesia_(Federated_States_of)
,,,,,,,,,,,112,Monaco
,,,,,,,,,,,113,Mongolia
,,,,,,,,,,,114,Montenegro
,,,,,,,,,,,115,Morocco
553,553,Mozambique - 2002-2003,Country-level,Protein consumption,Mean,g/capita/day,51.6,142.01,2.752131783,,116,Mozambique
,,,,,,,,,,,117,Myanmar
,,,,,,,,,,,118,Namibia
,,,,,,,,,,,119,Nauru
577,577,Nepal - 1995-1996,Country-level,Protein consumption,Mean,g/capita/day,50.51,23.25,0.46030489,,120,Nepal
,,,,,,,,,,,121,Netherlands
,,,,,,,,,,,122,New_Zealand
,,,,,,,,,,,123,Nicaragua
601,601,Niger - 2007-2008,Country-level,Protein consumption,Mean,g/capita/day,56.73,21.77,0.383747576,,124,Niger
,,,,,,,,,,,125,Nigeria
,,,,,,,,,,,126,Niue
,,,,,,,,,,,127,Norway
,,,,,,,,,,,128,Oman
625,625,Pakistan - 2005-2006,Country-level,Protein consumption,Mean,g/capita/day,59.67,19.97,0.334674041,,129,Pakistan
,,,,,,,,,,,130,Palau
649,649,Panama - 2008,Country-level,Protein consumption,Mean,g/capita/day,83.66,56.59,0.676428401,,131,Panama
673,673,Papua New Guinea - 1996,Country-level,Protein consumption,Mean,g/capita/day,47.61,38.75,0.813904642,,132,Papua_New_Guinea
697,697,Paraguay - 1997-1998,Country-level,Protein consumption,Mean,g/capita/day,84.06,41.17,0.489769212,,133,Paraguay
,,,,,,,,,,,134,Peru
721,721,Philippines - 2003,Country-level,Protein consumption,Mean,g/capita/day,53.17,23.76,0.446868535,,135,Philippines
,,,,,,,,,,,136,Poland
,,,,,,,,,,,137,Portugal
,,,,,,,,,,,138,Qatar
,,,,,,,,,,,139,Republic_of_Korea
745,745,Republic of Moldova - 2006,Country-level,Protein consumption,Mean,g/capita/day,92.62,47.27,0.510364932,,140,Republic_of_Moldova
,,,,,,,,,,,141,Romania
,,,,,,,,,,,142,Russian_Federation
,,,,,,,,,,,143,Rwanda
,,,,,,,,,,,144,Saint_Kitts_and_Nevis
,,,,,,,,,,,145,Saint_Lucia
,,,,,,,,,,,146,Saint_Vincent_and_the_Grenadines
,,,,,,,,,,,147,Samoa
,,,,,,,,,,,148,San_Marino
,,,,,,,,,,,149,Sao_Tome_and_Principe
,,,,,,,,,,,150,Saudi_Arabia
,,,,,,,,,,,151,Senegal
,,,,,,,,,,,152,Serbia
,,,,,,,,,,,153,Seychelles
,,,,,,,,,,,154,Sierra_Leone
,,,,,,,,,,,155,Singapore
,,,,,,,,,,,156,Slovakia
,,,,,,,,,,,157,Slovenia
,,,,,,,,,,,158,Solomon_Islands
,,,,,,,,,,,159,Somalia
,,,,,,,,,,,160,South_Africa
,,,,,,,,,,,161,Spain
769,769,Sri Lanka - 1999-2000,Country-level,Protein consumption,Mean,g/capita/day,56.42,24.14,0.42786246,,162,Sri_Lanka
793,793,Sudan (former) - 2009,Country-level,Protein consumption,Mean,g/capita/day,69.37,40.04,0.577194753,,163,Sudan
,,,,,,,,,,,164,Suriname
,,,,,,,,,,,165,Swaziland
,,,,,,,,,,,166,Sweden
,,,,,,,,,,,167,Switzerland
,,,,,,,,,,,168,Syrian_Arab_Republic
817,817,Tajikistan - 2007,Country-level,Protein consumption,Mean,g/capita/day,69.55,25.81,0.371099928,,169,Tajikistan
,,,,,,,,,,,170,Thailand
,,,,,,,,,,,171,The_former_Yugoslav_Republic_of_Macedonia
841,841,Timor-Leste - 2001,Country-level,Protein consumption,Mean,g/capita/day,46.46,23.31,0.501721911,,172,Timor-Leste
865,865,Togo - 2006,Country-level,Protein consumption,Mean,g/capita/day,66.41,47.33,0.712693871,,173,Togo
,,,,,,,,,,,174,Tonga
,,,,,,,,,,,175,Trinidad_and_Tobago
,,,,,,,,,,,176,Tunisia
,,,,,,,,,,,177,Turkey
,,,,,,,,,,,178,Turkmenistan
,,,,,,,,,,,179,Tuvalu
913,913,Uganda - 2005-2006,Country-level,Protein consumption,Mean,g/capita/day,47.48,26.32,0.554338669,,180,Uganda
,,,,,,,,,,,181,Ukraine
,,,,,,,,,,,182,United_Arab_Emirates
,,,,,,,,,,,183,United_Kingdom
,,,,,,,,,,,184,United_Republic_of_Tanzania
,,,,,,,,,,,185,United_States_of_America
,,,,,,,,,,,186,Uruguay
,,,,,,,,,,,187,Uzbekistan
,,,,,,,,,,,188,Vanuatu
937,937,Venezuela (Bolivarian Republic of) - 2004-2005,Country-level,Protein consumption,Mean,g/capita/day,73.96,50.89,0.688074635,,189,Venezuela_(Bolivarian_Republic_of)
985,985,Viet Nam - 2006,Country-level,Protein consumption,Mean,g/capita/day,56.56,21.89,0.387022631,,190,Viet_Nam
1009,1009,Zambia - 2002-2003,Country-level,Protein consumption,Mean,g/capita/day,77.84,54.88,0.705035971,,191,Yemen
,,,,,,,,,,,192,Zambia
,,,,,,,,,,,193,Zimbabwe
,,,,,,,,,,,194,
,,,,,,,,,,,195,Netherlands_Antilles
,,,,,,,,,,,196,New_Caledonia
,,,,,,,,,,,197,Occupied_Palestinian_Territory
,,,,,,,,,,,198,Bermuda
,,,,,,,,,,,199,French_Polynesia
961,961,Viet Nam - 1992-1993,Country-level,Protein consumption,Mean,g/capita/day,48.58,17.68,0.363935776,,,
505,505,Mexico - 2006,Country-level,Protein consumption,Mean,g/capita/day,80.92,51.01,0.63037568,,,
121,121,Cambodia - 2004,Country-level,Protein consumption,Mean,g/capita/day,55.09,38.52,0.699219459,,,
49,49,Bangladesh - 2000-2001,Country-level,Protein consumption,Mean,g/capita/day,56.52,17.07,0.302016985,,,
889,889,Uganda - 2002-2003,Country-level,Protein consumption,Mean,g/capita/day,50.08,32.15,0.641972843,,,
